"Time","slipstream_internal/slipstream_hq/1100/Outdoor Air Enthalpy Active","slipstream_internal/slipstream_hq/1100/Outdoor Air Relative Humidity Local","slipstream_internal/slipstream_hq/1100/Return Air Temperature","slipstream_internal/slipstream_hq/1100/Return Air Enthalpy Active","slipstream_internal/slipstream_hq/1002/Outside Air Temperature local","slipstream_internal/slipstream_hq/1100/Outdoor Air Damper Command","slipstream_internal/slipstream_hq/1100/Return Air Humidity Local"
2021-08-09 00:00:00,,,,,70.5,,
2021-08-09 00:00:01,33.3,95.4,76.4,39.6,,0,98.7
2021-08-09 00:01:00,,,,,70.5,,
2021-08-09 00:01:01,33.1,95.9,76.4,39.6,,0,98.6
2021-08-09 00:02:00,,,,,70.5,,
2021-08-09 00:02:01,33.2,96.2,76.4,39.6,,0,98.9
2021-08-09 00:03:00,,,,,70.5,,
2021-08-09 00:03:01,33.2,96.5,76.4,39.6,,0,98.9
2021-08-09 00:04:00,,,,,70.5,,
2021-08-09 00:04:01,33.2,96.5,76.3,39.6,,0,99.0
2021-08-09 00:05:00,,,,,70.5,,
2021-08-09 00:05:01,33.2,96.5,76.2,39.5,,0,98.9
2021-08-09 00:06:00,,,,,70.5,,
2021-08-09 00:06:01,33.1,96.7,76.2,39.4,,0,98.9
2021-08-09 00:07:00,,,,,70.5,,
2021-08-09 00:07:01,33.1,96.6,76.1,39.4,,0,98.9
2021-08-09 00:08:00,,,,,70.5,,
2021-08-09 00:08:01,33.0,96.4,76.1,39.4,,0,98.9
2021-08-09 00:09:00,,,,,70.5,,
2021-08-09 00:09:01,33.0,96.7,76.1,39.4,,0,98.9
2021-08-09 00:10:00,,,,,70.4,,
2021-08-09 00:10:01,33.0,96.7,76.1,39.3,,0,98.9
2021-08-09 00:11:00,,,,,70.4,,
2021-08-09 00:11:01,33.0,97.0,76.0,39.3,,0,98.9
2021-08-09 00:12:00,,,,,70.4,,
2021-08-09 00:12:01,33.0,96.8,76.0,39.3,,0,98.9
2021-08-09 00:13:00,,,,,70.4,,
2021-08-09 00:13:01,32.9,97.2,76.0,39.3,,0,98.9
2021-08-09 00:14:00,,,,,70.4,,
2021-08-09 00:14:01,33.0,97.2,76.0,39.3,,0,98.9
2021-08-09 00:15:00,,,,,70.4,,
2021-08-09 00:15:01,33.0,97.4,76.0,39.2,,0,98.9
2021-08-09 00:16:00,,,,,70.4,,
2021-08-09 00:16:01,33.0,97.2,75.9,39.2,,0,98.9
2021-08-09 00:17:00,,,,,70.4,,
2021-08-09 00:17:01,32.9,96.8,75.9,39.2,,0,98.9
2021-08-09 00:18:00,,,,,70.4,,
2021-08-09 00:18:01,32.8,97.3,75.9,39.2,,0,98.9
2021-08-09 00:19:00,,,,,70.4,,
2021-08-09 00:19:01,32.9,97.4,75.9,39.2,,0,98.9
2021-08-09 00:20:00,,,,,70.4,,
2021-08-09 00:20:01,32.9,96.5,75.9,39.2,,0,98.9
2021-08-09 00:21:00,,,,,70.4,,
2021-08-09 00:21:01,32.7,96.8,75.9,39.2,,0,98.9
2021-08-09 00:22:00,,,,,70.4,,
2021-08-09 00:22:01,32.7,97.0,75.9,39.1,,0,98.9
2021-08-09 00:23:00,,,,,70.4,,
2021-08-09 00:23:02,32.7,96.8,75.8,39.1,,0,98.9
2021-08-09 00:24:00,,,,,70.4,,
2021-08-09 00:24:01,32.7,97.1,75.8,39.1,,0,98.9
2021-08-09 00:25:00,,,,,70.4,,
2021-08-09 00:25:01,32.7,97.0,75.8,39.0,,0,98.9
2021-08-09 00:26:00,,,,,70.4,,
2021-08-09 00:26:01,32.6,97.0,75.8,39.0,,0,98.9
2021-08-09 00:27:00,,,,,70.4,,
2021-08-09 00:27:01,32.6,97.1,75.7,39.0,,0,98.9
2021-08-09 00:28:00,,,,,70.4,,
2021-08-09 00:28:01,32.6,97.1,75.7,39.0,,0,98.9
2021-08-09 00:29:00,,,,,70.3,,
2021-08-09 00:29:01,32.6,97.1,75.7,39.0,,0,98.9
2021-08-09 00:30:00,,,,,70.3,,
2021-08-09 00:30:01,32.6,97.2,75.6,38.9,,0,98.9
2021-08-09 00:31:00,,,,,70.3,,
2021-08-09 00:31:01,32.6,97.4,75.6,38.9,,0,98.9
2021-08-09 00:32:00,,,,,70.3,,
2021-08-09 00:32:01,32.6,97.4,75.6,38.9,,0,98.8
2021-08-09 00:33:00,,,,,70.3,,
2021-08-09 00:33:01,32.6,97.5,75.6,38.8,,0,98.8
2021-08-09 00:34:00,,,,,70.3,,
2021-08-09 00:34:01,32.5,97.5,75.6,38.8,,0,98.8
2021-08-09 00:35:00,,,,,70.2,,
2021-08-09 00:35:01,32.5,97.4,75.6,38.8,,0,98.8
2021-08-09 00:36:00,,,,,70.2,,
2021-08-09 00:36:01,32.5,97.4,75.6,38.8,,0,98.8
2021-08-09 00:37:00,,,,,70.2,,
2021-08-09 00:37:01,32.5,97.4,75.5,38.8,,0,98.8
2021-08-09 00:38:00,,,,,70.2,,
2021-08-09 00:38:01,32.5,97.5,75.5,38.7,,0,98.8
2021-08-09 00:39:00,,,,,70.2,,
2021-08-09 00:39:01,32.5,97.6,75.4,38.7,,0,98.8
2021-08-09 00:40:00,,,,,70.2,,
2021-08-09 00:40:01,32.5,97.5,75.4,38.7,,0,98.8
2021-08-09 00:41:00,,,,,70.2,,
2021-08-09 00:41:01,32.4,97.6,75.4,38.6,,0,98.8
2021-08-09 00:42:00,,,,,70.2,,
2021-08-09 00:42:01,32.4,97.8,75.4,38.6,,0,98.8
2021-08-09 00:43:00,,,,,70.2,,
2021-08-09 00:43:01,32.4,97.6,75.3,38.6,,0,98.8
2021-08-09 00:44:00,,,,,70.2,,
2021-08-09 00:44:01,32.4,97.5,75.3,38.6,,0,98.8
2021-08-09 00:45:00,,,,,70.2,,
2021-08-09 00:45:01,32.3,97.6,75.3,38.5,,0,98.8
2021-08-09 00:46:00,,,,,70.2,,
2021-08-09 00:46:02,32.3,97.8,75.2,38.5,,0,98.8
2021-08-09 00:47:00,,,,,70.1,,
2021-08-09 00:47:01,32.3,97.4,75.2,38.5,,0,98.8
2021-08-09 00:48:00,,,,,70.1,,
2021-08-09 00:48:01,32.2,97.0,75.2,38.5,,0,98.8
2021-08-09 00:49:00,,,,,70.1,,
2021-08-09 00:49:02,32.2,97.1,75.1,38.4,,0,98.8
2021-08-09 00:50:00,,,,,70.1,,
2021-08-09 00:50:01,32.2,97.1,75.1,38.4,,0,98.8
2021-08-09 00:51:00,,,,,70.1,,
